what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667722662154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667722919530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667722924582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667722926531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667723302453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667723308373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667723351969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1667723358574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667723392376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667723398547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667723407257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667723419224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727309715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727330670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727336513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727337924
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1667727338724
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1667727338734
opened,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727340674
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1667727341034
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1667727341054
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1667727348529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727351486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727375476
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1667727375486
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1667727375486
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1667727375686
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1667727375756
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1667727375836
activated,perspective,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui.debugPerspective",1667727375886
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727375896
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1667727417208
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727417208
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1667727418777
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1667727440118
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1667727440258
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727446789
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1667727457359
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727459549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727461489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727479259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1667727480560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727485364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727489404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727506405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727518145
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1667727542555
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1667727542675
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727578443
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1667727580743
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727602098
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1667727602367
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727612195
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1667727619485
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1667727621086
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727623895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727635706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727641376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727683490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1667727692445
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1667727692469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1667727700436
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1667727706326
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1667727706467
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1667727711860
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1667727712140
